"id";"created_at";"respuesta";"updated_at";"question_id";"user_id"
"1";"2025-05-05 21:49:29,916634";"25";"2025-05-05 21:49:29,916634";"1";"1"
"2";"2025-05-05 21:49:30,566922";"Masculino";"2025-05-05 21:49:30,566922";"2";"1"
"3";"2025-05-05 21:49:30,817194";"Ingeniería de Sistemas";"2025-05-05 21:49:30,817194";"3";"1"
"4";"2025-05-06 20:25:51,645472";"18";"2025-05-06 20:25:51,646262";"1";"1"
"5";"2025-05-06 20:25:51,954354";"Femenino";"2025-05-06 20:25:51,954354";"2";"1"
"6";"2025-05-06 20:25:52,170536";"Psicología";"2025-05-06 20:25:52,170536";"3";"1"
"7";"2025-05-06 20:57:44,579365";"22";"2025-05-06 20:57:44,579365";"1";"1"
"8";"2025-05-06 20:57:44,891871";"Masculino";"2025-05-06 20:57:44,891871";"2";"1"
"9";"2025-05-06 20:57:45,138690";"Administración de Empresas";"2025-05-06 20:57:45,138690";"3";"1"
"10";"2025-05-06 20:57:51,627406";"18";"2025-05-06 20:57:51,628440";"1";"1"
"11";"2025-05-06 20:57:51,893604";"No binario";"2025-05-06 20:57:51,893604";"2";"1"
"12";"2025-05-06 20:57:52,128498";"Administración de Empresas";"2025-05-06 20:57:52,129545";"3";"1"
"13";"2025-05-06 20:57:58,760585";"26";"2025-05-06 20:57:58,761622";"1";"1"
"14";"2025-05-06 20:57:58,992199";"Femenino";"2025-05-06 20:57:58,992199";"2";"1"
"15";"2025-05-06 20:57:59,212845";"Administración de Empresas";"2025-05-06 20:57:59,212845";"3";"1"
"16";"2025-05-06 20:58:05,642072";"24";"2025-05-06 20:58:05,642072";"1";"1"
"17";"2025-05-06 20:58:05,854470";"Masculino";"2025-05-06 20:58:05,854470";"2";"1"
"18";"2025-05-06 20:58:06,064479";"Ingeniería de Sistemas";"2025-05-06 20:58:06,064479";"3";"1"
"19";"2025-05-06 20:58:13,114075";"23";"2025-05-06 20:58:13,114075";"1";"1"
"20";"2025-05-06 20:58:13,518415";"Masculino";"2025-05-06 20:58:13,518415";"2";"1"
"21";"2025-05-06 20:58:13,845490";"Administración de Empresas";"2025-05-06 20:58:13,845490";"3";"1"
"22";"2025-05-06 20:58:20,343189";"21";"2025-05-06 20:58:20,343189";"1";"1"
"23";"2025-05-06 20:58:20,562338";"Masculino";"2025-05-06 20:58:20,562338";"2";"1"
"24";"2025-05-06 20:58:20,795747";"Diseño Gráfico";"2025-05-06 20:58:20,795747";"3";"1"
"25";"2025-05-06 20:58:27,178088";"18";"2025-05-06 20:58:27,178088";"1";"1"
"26";"2025-05-06 20:58:27,385029";"Femenino";"2025-05-06 20:58:27,385029";"2";"1"
"27";"2025-05-06 20:58:27,623514";"Ingeniería Electrónica";"2025-05-06 20:58:27,623514";"3";"1"
"28";"2025-05-06 20:58:33,993594";"23";"2025-05-06 20:58:33,993594";"1";"1"
"29";"2025-05-06 20:58:34,212572";"Femenino";"2025-05-06 20:58:34,213290";"2";"1"
"30";"2025-05-06 20:58:34,420506";"Psicología";"2025-05-06 20:58:34,420506";"3";"1"
"31";"2025-05-06 20:58:40,895643";"21";"2025-05-06 20:58:40,895643";"1";"1"
"32";"2025-05-06 20:58:41,107445";"Masculino";"2025-05-06 20:58:41,107445";"2";"1"
"33";"2025-05-06 20:58:41,328080";"Ingeniería Electrónica";"2025-05-06 20:58:41,328080";"3";"1"
"34";"2025-05-06 20:58:47,782597";"20";"2025-05-06 20:58:47,782597";"1";"1"
"35";"2025-05-06 20:58:48,006465";"Femenino";"2025-05-06 20:58:48,006465";"2";"1"
"36";"2025-05-06 20:58:48,228887";"Derecho";"2025-05-06 20:58:48,228887";"3";"1"
"37";"2025-05-06 20:58:54,625645";"24";"2025-05-06 20:58:54,625645";"1";"1"
"38";"2025-05-06 20:58:54,843303";"Femenino";"2025-05-06 20:58:54,843303";"2";"1"
"39";"2025-05-06 20:58:55,057914";"Diseño Gráfico";"2025-05-06 20:58:55,057914";"3";"1"
"40";"2025-05-06 20:59:01,438463";"18";"2025-05-06 20:59:01,438463";"1";"1"
"41";"2025-05-06 20:59:01,650247";"Masculino";"2025-05-06 20:59:01,650247";"2";"1"
"42";"2025-05-06 20:59:01,857379";"Medicina";"2025-05-06 20:59:01,857898";"3";"1"
"43";"2025-05-06 20:59:08,241773";"21";"2025-05-06 20:59:08,241773";"1";"1"
"44";"2025-05-06 20:59:08,456140";"Masculino";"2025-05-06 20:59:08,456140";"2";"1"
"45";"2025-05-06 20:59:08,670172";"Ingeniería de Sistemas";"2025-05-06 20:59:08,670172";"3";"1"
"46";"2025-05-06 20:59:15,028584";"20";"2025-05-06 20:59:15,028584";"1";"1"
"47";"2025-05-06 20:59:15,239490";"Masculino";"2025-05-06 20:59:15,239490";"2";"1"
"48";"2025-05-06 20:59:15,442010";"Ingeniería Industrial";"2025-05-06 20:59:15,442010";"3";"1"
"49";"2025-05-06 20:59:21,803905";"19";"2025-05-06 20:59:21,803905";"1";"1"
"50";"2025-05-06 20:59:22,026782";"Femenino";"2025-05-06 20:59:22,026782";"2";"1"
"51";"2025-05-06 20:59:22,241879";"Psicología";"2025-05-06 20:59:22,241879";"3";"1"
"52";"2025-05-06 20:59:28,619179";"25";"2025-05-06 20:59:28,619179";"1";"1"
"53";"2025-05-06 20:59:28,839371";"Femenino";"2025-05-06 20:59:28,840906";"2";"1"
"54";"2025-05-06 20:59:29,051519";"Administración de Empresas";"2025-05-06 20:59:29,051519";"3";"1"
"55";"2025-05-06 20:59:35,610136";"19";"2025-05-06 20:59:35,610136";"1";"1"
"56";"2025-05-06 20:59:35,843824";"Masculino";"2025-05-06 20:59:35,843824";"2";"1"
"57";"2025-05-06 20:59:36,073770";"Derecho";"2025-05-06 20:59:36,073770";"3";"1"
"58";"2025-05-06 20:59:42,527153";"18";"2025-05-06 20:59:42,527153";"1";"1"
"59";"2025-05-06 20:59:42,737191";"Femenino";"2025-05-06 20:59:42,737191";"2";"1"
"60";"2025-05-06 20:59:43,001620";"Contaduría Pública";"2025-05-06 20:59:43,001620";"3";"1"
"61";"2025-05-06 20:59:49,376968";"20";"2025-05-06 20:59:49,376968";"1";"1"
"62";"2025-05-06 20:59:49,593437";"Prefiero no decirlo";"2025-05-06 20:59:49,593437";"2";"1"
"63";"2025-05-06 20:59:49,795859";"Ingeniería Electrónica";"2025-05-06 20:59:49,795859";"3";"1"
"64";"2025-05-06 20:59:56,157414";"18";"2025-05-06 20:59:56,157414";"1";"1"
"65";"2025-05-06 20:59:56,366870";"Femenino";"2025-05-06 20:59:56,366870";"2";"1"
"66";"2025-05-06 20:59:56,593416";"Comunicación Social";"2025-05-06 20:59:56,593416";"3";"1"
"67";"2025-05-06 21:00:03,029479";"18";"2025-05-06 21:00:03,029479";"1";"1"
"68";"2025-05-06 21:00:03,251525";"Femenino";"2025-05-06 21:00:03,251525";"2";"1"
"69";"2025-05-06 21:00:03,483044";"Ingeniería Industrial";"2025-05-06 21:00:03,483044";"3";"1"
"70";"2025-05-06 21:00:09,850695";"22";"2025-05-06 21:00:09,850695";"1";"1"
"71";"2025-05-06 21:00:10,053626";"Masculino";"2025-05-06 21:00:10,053626";"2";"1"
"72";"2025-05-06 21:00:10,257291";"Derecho";"2025-05-06 21:00:10,257291";"3";"1"
"73";"2025-05-06 21:00:16,607162";"21";"2025-05-06 21:00:16,607162";"1";"1"
"74";"2025-05-06 21:00:16,814048";"Masculino";"2025-05-06 21:00:16,814048";"2";"1"
"75";"2025-05-06 21:00:17,019719";"Ingeniería Electrónica";"2025-05-06 21:00:17,019719";"3";"1"
"76";"2025-05-06 21:00:23,395403";"25";"2025-05-06 21:00:23,395403";"1";"1"
"77";"2025-05-06 21:00:23,611704";"Masculino";"2025-05-06 21:00:23,611704";"2";"1"
"78";"2025-05-06 21:00:23,827164";"Ingeniería Industrial";"2025-05-06 21:00:23,827164";"3";"1"
"79";"2025-05-06 21:00:30,229404";"19";"2025-05-06 21:00:30,229404";"1";"1"
"80";"2025-05-06 21:00:30,437681";"Masculino";"2025-05-06 21:00:30,437681";"2";"1"
"81";"2025-05-06 21:00:30,674012";"Medicina";"2025-05-06 21:00:30,674012";"3";"1"
"82";"2025-05-06 21:00:37,042139";"20";"2025-05-06 21:00:37,042139";"1";"1"
"83";"2025-05-06 21:00:37,255965";"Femenino";"2025-05-06 21:00:37,255965";"2";"1"
"84";"2025-05-06 21:00:37,468369";"Diseño Gráfico";"2025-05-06 21:00:37,468369";"3";"1"
"85";"2025-05-06 21:00:43,871221";"18";"2025-05-06 21:00:43,871221";"1";"1"
"86";"2025-05-06 21:00:44,078413";"Masculino";"2025-05-06 21:00:44,078413";"2";"1"
"87";"2025-05-06 21:00:44,297255";"Psicología";"2025-05-06 21:00:44,297255";"3";"1"
"88";"2025-05-06 21:00:50,654398";"25";"2025-05-06 21:00:50,654398";"1";"1"
"89";"2025-05-06 21:00:50,875603";"Prefiero no decirlo";"2025-05-06 21:00:50,875603";"2";"1"
"90";"2025-05-06 21:00:51,080995";"Ingeniería Electrónica";"2025-05-06 21:00:51,080995";"3";"1"
"91";"2025-05-06 21:00:57,465318";"21";"2025-05-06 21:00:57,465318";"1";"1"
"92";"2025-05-06 21:00:57,680431";"Femenino";"2025-05-06 21:00:57,680431";"2";"1"
"93";"2025-05-06 21:00:57,880026";"Ingeniería Industrial";"2025-05-06 21:00:57,880026";"3";"1"
"94";"2025-05-06 21:01:04,323616";"24";"2025-05-06 21:01:04,323616";"1";"1"
"95";"2025-05-06 21:01:04,549981";"Masculino";"2025-05-06 21:01:04,549981";"2";"1"
"96";"2025-05-06 21:01:04,756271";"Administración de Empresas";"2025-05-06 21:01:04,756271";"3";"1"
"97";"2025-05-06 21:01:11,152668";"18";"2025-05-06 21:01:11,152668";"1";"1"
"98";"2025-05-06 21:01:11,362055";"Femenino";"2025-05-06 21:01:11,362055";"2";"1"
